idx,wake_ms,rows,ok
1,4949,3,1
2,3579,3,1
3,3688,3,1
4,3504,3,1
5,3695,3,1
6,4777,3,1
7,3591,3,1
8,3793,3,1
9,3564,3,1
10,3591,3,1
11,3974,3,1
12,3564,3,1
13,4193,3,1
14,3627,3,1
15,3559,3,1
16,5095,3,1
17,3811,3,1
18,4766,3,1
19,3739,3,1
20,3908,3,1
