idx,wake_ms,rows,ok
1,4876,3,1
2,3690,3,1
3,3578,3,1
4,3574,3,1
5,3565,3,1
6,3576,3,1
7,3578,3,1
8,3704,3,1
9,4806,3,1
10,4915,3,1
11,3709,3,1
12,3732,3,1
13,3800,3,1
14,4802,3,1
15,3680,3,1
16,3693,3,1
17,4822,3,1
18,3578,3,1
19,3667,3,1
20,3686,3,1
